Book Name,Author,Rating,Customers_Rated,Price
"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",Gareth Moore,4.3 out of 5 stars,"5,043",₹199.00
How to Prepare for Verbal Ability and Reading Comprehension for CAT | 9th Edition,Arun Sharma,4.5 out of 5 stars,949,₹649.00
CBSE All In One Social Science Class 10 for 2022 Exam,Farah Sultan Madhumitta Pattrea,4.1 out of 5 stars,139,₹345.00
Concept of Physics Part-1 & 2 (2020-2021 Session),H C Verma,4.6 out of 5 stars,69,₹860.00
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.7 out of 5 stars,"7,293",₹209.00
My Activity- Phonics Activity Book,Dreamland Publications,4.4 out of 5 stars,"1,369",₹65.00
CBSE All In One English Core Class 12 for 2022 Exam,Nandini Sharma Srishti Agarwal,-1,0,₹355.00
Autobiography of a Yogi,Paramahansa Yogananda,4.6 out of 5 stars,"3,754",₹97.00
Objective General English,S.P. Bakshi,4.3 out of 5 stars,"7,996",₹203.00
Spoken English Course (Telugu),Vashista 360,4.3 out of 5 stars,"2,103",₹337.00
Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,4.6 out of 5 stars,"3,202",₹525.00
CBSE All In One English Language & Literature Class 10 for 2022 Exam,Nandini Sharma Srishti Agarwal,4.3 out of 5 stars,83,₹347.00
My Big Book of Creative Crayons,Wonder House Books,4.4 out of 5 stars,187,₹149.00
A Brief History of Modern India (2019-2020 Edition) by Spectrum Books,Spectrum Books Pvt.Ltd.,4.5 out of 5 stars,"6,706",₹381.00
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson",Mitch Albom,4.6 out of 5 stars,"10,518",₹203.00
