Name,Price
Bnk Professional Long Distance Wireless Microphone System With Dual Handheld Microphone,"<div class=""prc"">₦ 48,000</div>"
US18 USB To XLR Female Microphone Recording Cable-3m(Black),"<div class=""prc"">₦ 4,680</div>"
10m 3-Pin XLR Male To XLR Female MIC Shielded Cable Microphone Audio Cord,"<div class=""prc"">₦ 4,610</div>"
Wireless Microphone System,"<div class=""prc"">₦ 24,000</div>"
Bnk Professional Long Distance Wireless Microphone System With Dual Handheld Microphone,"<div class=""prc"">₦ 45,000</div>"
BM-800 Condenser Microphone Portable High Sensitivity Low,"<div class=""prc"">₦ 11,500</div>"
Wireless Microphone System,"<div class=""prc"">₦ 24,000</div>"
TAKSTAR Studio Microphone,"<div class=""prc"">₦ 34,000</div>"
Quality Audio And Microphone Cable 100m,"<div class=""prc"">₦ 15,600</div>"
Vention 3.5mm Audio Splitter Audio Stereo Extension Cable,"<div class=""prc"">₦ 7,120</div>"
Condenser Microphone,"<div class=""prc"">₦ 14,000</div>"
Wooden Guitar Bass Connection Cable Noise Reduction Audio Cable- 3m,"<div class=""prc"">₦ 2,610</div>"
"15'' Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 55,000</div>"
Professional Pure Vocal Dynamic Wired Microphone Mike With 11.5ft Cord,"<div class=""prc"">₦ 5,206</div>"
"12'' INCHES Rechargeable Public Address System,Bluetooth 2 Mic","<div class=""prc"">₦ 48,500</div>"
Professional Pure Vocal Dynamic Wired Microphone Mike With 115ft Cord,"<div class=""prc"">₦ 5,397</div>"
Yamaha YM 288 VHF Dual Wireless Microphone,"<div class=""prc"">₦ 12,500</div>"
AC 220V Multifunction Wireless Remote Control Switch Relay For Lamp,"<div class=""prc"">₦ 6,012</div>"
Portable UHF Wireless Microphone Mic System With 1 Receiver,"<div class=""prc"">₦ 31,560</div>"
Professional Pure Vocal Dynamic Wired Microphone Mike With 115ft Cord,"<div class=""prc"">₦ 4,862</div>"
Yamaha YM 288 VHF Dual Wireless Microphone,"<div class=""prc"">₦ 11,500</div>"
"12” Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 43,000</div>"
15” Public Address System With Bluetooth & 2 Microphones,"<div class=""prc"">₦ 55,000</div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
BM-800 Condenser Microphone Portable High Sensitivity Low,"<div class=""prc"">₦ 16,000</div>"
"Neewer Neewer® 6-Pack 6.5ft/2M XLR Male To XLR Female Color Microphone Cables Rubber Shielded Patch Cable Cords Balanced Snake Cords (Green, Blue, Purple, Red, Yellow And Orange)","<div class=""prc"">₦ 13,221</div>"
Muslady UR-4 Professional Digital Wireless Microphone,"<div class=""prc"">₦ 32,880</div>"
"15'' Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 65,000</div>"
EsoGoal 10PCS Microphone Covers Protective Cap For Gooseneck,"<div class=""prc"">₦ 3,690</div>"
Professional Pure Vocal Dynamic Wired Microphone Mike With 115ft Cord,"<div class=""prc"">₦ 5,206</div>"
3.5mm Male To XLR Male Microphone Audio Cord- 3m,"<div class=""prc"">₦ 2,300</div>"
"15'' Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 63,000</div>"
Shure BLX Wireless Microphone System - Professional,"<div class=""prc"">₦ 145,000</div>"
Shure Professional Long Distance Wireless Microphone System With Dual Handheld Microphone,"<div class=""prc"">₦ 63,950</div>"
Wooden Guitar Bass Connection Cable Noise Reduction Braid Audio Cable- 3m,"<div class=""prc"">₦ 2,360</div>"
"15” Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 62,900</div>"
Wooden Guitar Bass Connection Cable Noise Reduction Braid Audio Cable- 5m,"<div class=""prc"">₦ 2,890</div>"
Yamaha YM 288 VHF Dual Wireless Microphone,"<div class=""prc"">₦ 20,000</div>"
Live Streaming Sound Card Handheld Microphone Built-in,"<div class=""prc"">₦ 27,490</div>"
Wireless Microphone System,"<div class=""prc"">₦ 22,500</div>"
Shure Professional Long Distance Wireless Microphone System With Dual Handheld Microphone,"<div class=""prc"">₦ 95,000</div>"
BM-800 Condenser Microphone Portable High Sensitivity Low,"<div class=""prc"">₦ 25,000</div>"
10m XLR 3-Pin Female To 1/4 Inch (6.35mm) Mono Shielded Microphone Mic Cable,"<div class=""prc"">₦ 4,550</div>"
TY48S USB-C / Type-C To 6.35mm Electric Guitar Recording Cable-2m,"<div class=""prc"">₦ 3,940</div>"
Microphone Po P Filter Mesh Shield Mic Blowout Preventer,"<div class=""prc"">₦ 3,520</div>"
Black Professional Wired/Wireless Dynamic Microphone For DJ/Karaoke,"<div class=""prc"">₦ 43,198</div>"
Wireless Microphone System,"<div class=""prc"">₦ 23,800</div>"
"12'' INCHES Rechargeable Public Address System,Bluetooth 2 Mic","<div class=""prc"">₦ 54,000</div>"
2 PCS 6.35mm Gold-plating Audio Plug Stereo Microphone Cord Plug,"<div class=""prc"">₦ 1,730</div>"
Boya Wm8 Pro 1 Wireless Microphone,"<div class=""prc"">₦ 95,000</div>"
Channels Wireless Guitar System Rechargeable Musical Instrument Transmitter Receiver,"<div class=""prc"">₦ 33,190</div>"
5m  3-Pin XLR Male To XLR Female Microphone Cable,"<div class=""prc"">₦ 2,960</div>"
3.5mm TRRS Male To 8 Pin Male Live Microphone Audio Adapter Spring Coiled Cable For IPhone- 100cm(Black),"<div class=""prc"">₦ 9,200</div>"
Wire Microphone Moving Coil Microphone High Quality,"<div class=""prc"">₦ 9,240</div>"
3m 3-Pin XLR Male To XLR Female MIC Shielded Cable Microphone Audio Cord,"<div class=""prc"">₦ 2,450</div>"
XLR Microphone Cable - 30 Feet Mic Cable -Black - Mixers,"<div class=""prc"">₦ 19,000</div>"
Sennheiser UHF Vocal Wireless Microphone System - XSW-75,"<div class=""prc"">₦ 29,000</div>"
"12'' INCHES Rechargeable Public Address System,Bluetooth 2 Mic","<div class=""prc"">₦ 50,000</div>"
USB To 6.35mm Electric Guitar Recording Cable-2m,"<div class=""prc"">₦ 3,770</div>"
Sennheiser UHF Vocal Wireless Microphone System - XSW-75,"<div class=""prc"">₦ 37,000</div>"
Proel BAL Cable 3P Female XLR + 3P Male XLR M5,"<div class=""prc"">₦ 3,800</div>"
Yamaha YM 288 VHF Dual Wireless Microphone,"<div class=""prc"">₦ 17,000</div>"
Shure BLX288 PG58  Wireless Microphone System - Professional BLX88,"<div class=""prc"">₦ 150,000</div>"
TAKSTAR Studio Microphone,"<div class=""prc"">₦ 34,000</div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
USB To 6.35mm Electric Guitar Recording Cable-3m,"<div class=""prc"">₦ 3,940</div>"
1m 3-Pin XLR Male To XLR Female MIC Shielded Cable Microphone Audio Cord,"<div class=""prc"">₦ 2,120</div>"
192Khz BT DAC Digital To Analog Audio Converter With BT,"<div class=""prc"">₦ 10,900</div>"
Yamaha YM 288 VHF Dual Wireless Microphone,"<div class=""prc"">₦ 12,400</div>"
1.8m 3-Pin XLR Male To XLR Female MIC Shielded Cable Microphone Audio Cord,"<div class=""prc"">₦ 2,160</div>"
Takstar Comdanse Mic,"<div class=""prc"">₦ 30,000</div>"
XLR Microphone Cable - 30 Feet Mic Cable -Black - Mixers,"<div class=""prc"">₦ 15,000</div>"
Black Professional WiredWireless Dynamic Microphone For DJKaraoke,"<div class=""prc"">₦ 43,198</div>"
1m 3-Pin XLR Male To XLR Female MIC Shielded Cable Microphone Audio Cord,"<div class=""prc"">₦ 2,040</div>"
"15'' Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 55,000</div>"
Proel INSTRUMENT CABLE 6.3 MONO + JACK 6.3 RA MONOJACK M3,"<div class=""prc"">₦ 3,200</div>"
1/4 Inch 6.35mm Audio Mono Plug L-shaped Right Angle Screw Jack Male Guitar Audio Connector,"<div class=""prc"">₦ 1,430</div>"
Sennheiser UHF Vocal Wireless Microphone System - XSW-75,"<div class=""prc"">₦ 29,500</div>"
Shure Professional Long Distance Wireless Microphone System With Dual Handheld Microphone,"<div class=""prc"">₦ 84,000</div>"
"8” Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 50,000</div>"
6.35mm Male To 3.5mm Female Audio Cable- 0.3m,"<div class=""prc"">₦ 2,130</div>"
2CH Channel 433MHZ RF Wireless Remote Control Transmitter Receiver,"<div class=""prc"">₦ 7,688</div>"
10 PCS  6.35mm Gold-plated Mono Sound Welding Audio Adapter Plug(Orange),"<div class=""prc"">₦ 7,140</div>"
Electric Transmitter Receiver Wireless Remote Control With Mini,"<div class=""prc"">₦ 6,012</div>"
Live Streaming Sound Card Handheld Microphone Built-in,"<div class=""prc"">₦ 27,490</div>"
Professional Pure Vocal Dynamic Wired Microphone Mike With 115ft Cord,"<div class=""prc"">₦ 5,115</div>"
Sennheiser UHF Vocal Wireless Microphone System,"<div class=""prc"">₦ 78,500</div>"
10 Pairs 3 Pin XLR Plug Male + Female Jack Mic Jack Plug Socket Connector,"<div class=""prc"">₦ 5,990</div>"
Electric Transmitter Receiver Wireless Remote Control With Mini,"<div class=""prc"">₦ 6,012</div>"
10 PCS  6.35mm Gold-plated Mono Sound Welding Audio Adapter Plug(Blue),"<div class=""prc"">₦ 7,140</div>"
Vocal Wireless Microphone System - DR-3500,"<div class=""prc"">₦ 23,000</div>"
AC 220V Multifunction Portable Wireless Remote Control Switch,"<div class=""prc"">₦ 6,299</div>"
Metal Microphone Mesh Grille Replacement With Interior Foam,"<div class=""prc"">₦ 7,820</div>"
Condenser Microphone,"<div class=""prc"">₦ 14,000</div>"
2Pcs Blue 3 Point Mic Slip Holder Roller Antirolling Protection,"<div class=""prc"">₦ 4,257</div>"
