Name,Price
LIPTON TEA TROPICAL FRUIT 20S,"₦1,500"
TWININGS GREEN TEA & MINT 50G,"₦1,500"
NESQUICK POWDER BANANA 300GM,"₦1,750"
SYINIX FRIDGE-FD065AF01(S) SILVER,"₦40,800"
SYINIX ELECTRIC KETTLE CLD-1701 1.7L – BLUE,"₦6,390"
SYINIX ELECTRIC KETTLE CLD-1701 1.7L – RED,"₦6,390"
SYINIX CHEST FREEZER FZ190F02K,"₦86,050"
SYINIX FREEZER FZ260 195L SINGLE DOOR,"₦99,900"
ZONIN VALPOLICELLA RIPASSO SUPERIORE REDWINE 750ML,"₦5,000"
ZONIN PROSECCO EXTRA DRY 750ML,"₦4,900"
ZONIN PROSECCO ICE SPUMANTE DEMI SEC 750ML,"₦4,900"
ZONIN PROSECCO EXTRA BRUT 750ML,"₦4,900"
PHILLIPE DAYNAC MERLOT 2018 75CL,"₦3,800"
PHILLIPE DAYNAC CHARDONNAY 2018 75CL,"₦3,800"
GERARD BERTRAND RESERVE SPECIALE CAB. SAUV. 75CL,"₦5,550"
DOMAINE DE LA BAUME CHARDONNAY 2017 WINE 750ML,"₦4,500"
DOMAINE DE LA BAUME VIOGNIER 2017 WINE 750ML,"₦4,500"
DOMAINE DE LA BAUME SAUVIGNON BLANC 2017 WINE 750M,"₦4,500"
DOMAINE DE LA BAUME PINOT NOIR ROSE 2017 WINE 750M,"₦5,500"
DOMAINE DE LA BAUME MERLOT WINE 2016 750ML,"₦4,500"
DOMAINE DE LA BAUME CABERNET SAUVIGNON 2017 750 ML,"₦4,500"
DOMAINE DE LA BAUME SYRAH 2016 WINE 750ML,"₦4,500"
HUBMART TIGERNUT 250G,₦250
DATES LOCAL PACK,"₦1,350"
MJ’S SALAD CREAM 285G,₦790
MJ’S MAYONNAISE ORIGINAL 237ML,₦450
MJ’S MAYONNAISE ORIGINAL 473ML,₦750
LEGEND GREEN TEA & MINT 50G,₦800
TWINININGS RELAXING CAMOMILE & SPEARMINT 30G,"₦1,500"
TWININGS CLEANSING FENNEL 40G,"₦1,350"
TWININGS CHERRY & CINNAMON,"₦1,500"
FARM FRESH PINEAPPLE YOGHURT DRINK 1LTR,"₦1,800"
FARM FRESH UNSWEEGENED YOGHURT 500 ML,"₦1,050"
FARM FRESH VANILLA 500ML,"₦1,050"
FARM FRESH VANILLA YOGHURT 1LTR,"₦1,800"
FARM FRESH STRAWBERRY YOGHURT 1LTR,"₦1,800"
PEAK EVAPORATED FILLED MILK 160G,₦180
KENCO DECAFF COFFEE 100G,"₦3,000"
KENCO SMOOTH COFFEE 100G,"₦3,000"
LOR DECAFEINE COFFEE 100G,"₦2,950"
HOLLANDIA CHOCO MALT DRINK 180ML,₦95
HOLLANDIA CHOCO MALT DRINK 315ML,₦200
OVALTINE 18G SATCHET,₦60
LEGEND GREEN TEA & MORINGA,"₦1,200"
SOYFRESH SOY MILK NATURAL 250ML,₦370
NESTLE COFFEE MATE LIGHT 200G,"₦1,450"
NESCAFE GOLD BLEND JAR 100G,"₦2,600"
LAVAZZA BLACK EXPRESSO CAFFE 250G,"₦3,200"
LAVAZZA QUALITY ROSSA COFFEE 250G,"₦3,300"
MILO ACTIGEN-E TIN 500G,"₦2,050"
MILO ACTIGEN E SACHET 1KG,"₦2,450"
MJ’ MAYONNAISE ORIGINAL 946ML,"₦1,200"
MJ’S PURE HONEY GLASS JAR 500G,"₦1,200"
POITOU SAUVIGNON BLANC HAUT 750ML,"₦6,500"
VICTOR BERARD CHABLIS 2016 WINE 750ML,"₦10,500"
THOMAS BARTON GRAVES 2011 AOC WHITE 75ML,"₦4,490"
CHATEAU PEYMOUTON SAINT-EMILION GRAND CRU 2016 75C,"₦9,850"
ICE BLANC BY MOUTON CADET 75CL,"₦8,000"
GLENMORANGIE SCOTCH WHISKY QUINTA RUBAN 70CL,"₦20,200"
GLENMORANGIE NECTAR D’OR WHISKY 70CL,"₦23,000"
CLARENDELLE BORDEAUX BLANC 2016 750ML,"₦7,700"
CHATEAU LAUBES BORDEAUX 75CL,"₦6,000"
I CAN’T BELIEVE IT’S NOT BUTTER 250GM,"₦3,000"
TOM TOM CLASSIC 120G,₦290
HOLLANDIA EVAPORATED MILK TETRA PACK 190G,₦200
HOLLANDIA YOGHURT PLAIN SWEETENED 315ML,₦270
HOLLANDIA YOGHURT STRAWBERRY 315ML,₦280
HOLLANDIA YOGHURT PLAIN SWEETENED 500ML,₦300
HOLLANDIA YOGHURT STRAWBERRY 500ML,₦350
RETIRO DO MARQUES VINHO TINTO 250ML,₦590
BARON DE VAL 75CL,"₦13,000"
DON SIMON NON/ALCH SPK RED 75CL,"₦1,100"
EMPERADOR BRANDY 750ML,"₦1,750"
MG SPIRIT TONIC GIN 27.5CL,₦500
MIKE TYSON BLACK ENERGY DRINK 250ML,₦250
MILO ACTIGEN-E TIN 1KG,"₦3,490"
NESCAFE GOLD JAR DECAF 100G,"₦2,600"
NESCAFE BREAKFAST CUP  3IN1 32G,₦100
THREE CROWNS EVAPORATED MILK[TIN] 160G,₦190
PEAK EVAPORATED MILK [GIANT SIZE -TIN] 410G,₦500
PEAK EVAPORATED MILK (REGULAR) 160G,₦300
OVALTINE 400 GM POUCH,"₦1,400"
OVALTINE 400 GM TINS,"₦1,400"
COCA-COLA MAMA PET 1LIT,₦190
POWER HORSE ENERGY DRINK WITH MALT EXTRACT 355ML,₦260
5ALIVE PULPY ORANGE 30CL,₦165
FIVE ALIVE TROPICAL FRUIT DRINK 35CL PET,₦165
MONSTER FURY ENERGY DRINK 440ML,₦410
MILO SACHET 20G,₦50
POWER HORSE 355ML,₦645
BOURNVITA SACHET 20G,₦65
BOURNVITA REFILL 500G,"₦1,150"
SCHWEPPES SODA CAN 33CL,₦150
SCHWEPPES BITTER LEMON CAN 33CL,₦150
MIRINDA PET 50CL,₦100
BIGI WATER 75CL,₦70
BOURNVITA 500G,"₦1,450"
SPRITE CAN 33CL,₦145
FANTA ORANGE CAN 33CL,₦145
JAUME SERRA SEMI SECO ICE BRUT 75CL,"₦2,500"
LA FIOLE CHATEAUNEUF DU PAPE 750ML,"₦15,900"
JAUME SERRA ICE ROSE WINE 75CL,"₦2,500"
WILD AFRICA CREAM 750ML,"₦3,950"
LAMIS GRANULATED SUGAR 2KG,"₦1,800"
DANO SLIM MILK SACHET 900G,"₦2,950"
PEAK POWDERED MILK [TIN] 2500G,"₦9,700"
AYOOLA POUNDO YAM 1.8KG,"₦2,490"
GOLDEN PENNY SEMOVITA 2KG,"₦1,100"
GOLDEN PENNY SEMOVITA 1KG,₦550
HONEYWELL SEMOLINA 2KG,"₦1,150"
HONEYWELL SEMOLINA 1KG,₦590
HEINZ WHITE VINEGAR 473ML,"₦1,100"
HEINZ APPLE CIDER VINEGAR 473ML,"₦1,600"
GINO TOMATO PASTE 210G,₦400
GINO TOMATO PASTE 400G,₦970
HEINZ SALAD CREAM 285GRAMS,₦950
GOLDEN PENNY MACARONI 500G,₦280
INDOMIE HUNGRY MAN ONION NOODLES 180G,₦190
JAGO MAYONNAISE 946ML,"₦1,890"
BAMA MAYONNAISE 946ML,"₦1,890"
EMPEROR VEGETABLE OIL 3L,"₦2,550"
LASER OLIVE POMACE OIL 1L,"₦2,500"
LASER OLIVE OIL 500ML,"₦2,350"
COCA-COLA CAN 33CL,₦145
7UP PET 50CL,₦95
PEPSI PET 60CL,₦100
PEPSI LIGHT PET 60CL,₦90
TEEM TONIC PET 50CL,₦100
TEEM TONIC CAN 33CL,₦130
7UP CAN 33CL,₦130
PEPSI CAN 33CL,₦130
LUCOZADE SPORT ORANGE 450ML,₦280
ROWSE HONEY 340G,"₦1,550"
INDOMIE REGULAR CHICKEN NOODLES 100G,₦100
INDOMIE ONION CHICKEN NOODLES 70G,₦80
INDOMIE SUPERPACK CHICKEN NOODLES 120G,₦110
LAMIS NATURAL WHOLE ALMOND 500GM,"₦4,600"
MENTOS SQUEEZE FRESH MINT 100 GM,"₦2,200"
M&M’S CHOCOLATE 45G 1,₦490
CELEBRATION LARGE CHOCOLATE 380G,"₦4,170"
WRIGLEYS ORBIT COMPLETE STRAWBERRY,₦350
TOBLERONE MILK CHOCOLATE 100 GM,"₦1,100"
SNICKERS 2X 80G,₦550
CLORETS BREATH FRESHNER CHEWING GUM,₦80
MCVITIE’S ABS  200 GM,₦900
GOLDEN MORN FORTIFIED 1KG,"₦1,990"
GOLDEN MORN FORTIFIED 500G,₦990
TEEM BITTER LEMON CAN 33CL,₦130
MIRINDA CAN 33CL,₦130
CAPRISONNE ORANGE FRUIT DRINK 200ML,₦85
MALTA GOLD CAN 33CL,₦150
EVA WATER  75CL,₦80
LUCOZADE SPARKLING 1 LITRE,₦790
BIG BULL RICE 50KG,"₦24,990"
BIGI COLA 60CL PET + SUPA KOMANDO ENERGY DRINK 33CL + JACK DANIEL’S WHISKEY OLD NO 70CL,"₦8,320"
BLACK & DECKER 0.6L AUTO RICE COOKER RC650-B5,"₦13,965"
Chicken pie,₦450
EVA WATER  1.5L,₦120
FUNTIME COCONUT CHIPS 30G,₦85
COCA COLA PET 50CL,₦100
