Name,Price
EGUSI (Unblended),₦800.00
EGUSI (Unblended) Per Kg,"₦1,500.00"
EGUSI PEPPER SOUP BUNDLE,"₦5,500.00"
ELDORIN MY BOY INFANT FORMULA 0-12 MONTHS 400g,"₦1,565.00"
ELUBO (Local Yam Flour),"₦1,600.00"
EMBORG FRENCH FRIES (Straight) 1000g,"₦2,000.00"
EMBORG MIXED VEGETABLES 450g,"₦1,420.00"
ENDY'S BEANS FLOUR 2kg,"₦1,570.00"
ENDY'S FUFU FLOUR 2kg,"₦1,210.00"
ENDY'S GROUND 2kg,"₦1,570.00"
ENDY'S GROUND RICE 1kg,₦820.00
ENDY'S PLANTAIN FLOUR 1kg,"₦1,510.00"
ENDY'S SEMOLINA 2kg,"₦1,150.00"
ENDY'S WHEAT MEAL FLOUR 2kg,"₦1,330.00"
ENFAMIL INFANT FORMULA FOR BABIES BORN PREMATURELY,"₦5,850.00"
EVIAN NATURAL MINERAL WATER (carton),"₦11,500.00"
EVIAN WATER 50CL,₦750.00
EXETER CORNED BEEF 340g,₦600.00
FAMILY CHOCOLTE DRINK SACHET 500g,₦715.00
FARROWS GIANT MARROWFAT PEAS,₦350.00
FORTNUM & MASON BLACK TEA WITH APPLE 50g,"₦5,000.00"
FRESH ARCHI,₦100.00
FRESH BEEF 1kg,"₦1,999.00"
FRESH BEEF KIDNEY,₦900.00
FRESH CATFISH CUT-UP (1kg),"₦2,500.00"
FRESH COW LEGS,"₦1,600.00"
FRESH EWEDU LEAVES,₦100.00
FRESH GARLIC,₦150.00
FRESH GINGER,₦100.00
FRESH GOAT MEAT (Portion),"₦2,000.00"
FRESH GRAPE,₦400.00
FRESH LIME,₦150.00
FRESH LIVER (PORTION),"₦1,200.00"
FRESH LOCAL LEMON (Each),₦270.00
FRESH LOCUST BEANS/IRU,₦50.00
FRESH MINCED BEEF (0.5KG),₦610.00
FRESH MOI-MOI LEAVES 1-Bunch,₦220.00
FRESH OKRA (Portion),₦350.00
FRESH ONION BULBS,₦150.00
FRESH ONIONS,₦200.00
FRESH ORANGE (per piece),₦50.00
FRESH PALM FRUIT/BANGA,₦150.00
FRESH PINEAPPLE,₦600.00
FRESH PLUM 1Kg,"₦3,000.00"
FRESH RODO-RED,₦150.00
FRESH RODO-RED SMALL BASKET,₦850.00
FRESH SHAKI,"₦1,200.00"
FRESH SHOKOR LEAVES,₦100.00
FRESH SHRIMPS,₦600.00
FRESH SPINACH (Half Kg),₦200.00
FRESH SPRING ONIONS,₦100.00
FRESH SPRING ONIONS - LARGE BUNCH,₦300.00
FRESH STRAWBERRIES 200g,"₦1,000.00"
FRESH STRAWBERRIES 300g,"₦1,500.00"
FRESH STRAWBERRIES 500g,"₦2,000.00"
FRESH TATASHE PEPPER (portion),₦500.00
FRESH TATASHE SMALL BASKET,"₦1,200.00"
Fresh Tomatoes (paint Rubber0,"₦1,800.00"
FRESH TOMATOES SMALL BASKET,₦750.00
FRESH UGBA,₦150.00
FRESH UZIZA LEAVES,₦50.00
FRESH UZIZA LEAVES 100g,₦300.00
FRESH WHITE ONIONS,₦200.00
FRIED RICE BUNDLE,"₦7,200.00"
FRISO GOLD RICE BASED MILK CEREAL 6-36 MONTHS 300g,"₦1,990.00"
FRISO GOLD WHEAT BASED MILK CEREAL 6-36 MONTHS 300g,"₦1,990.00"
FULL GOAT MEDIUM,"₦26,000.00"
FUNTUNA EGGS 12 PIECES,₦770.00
FUNTUNA EGGS 30 PIECES,"₦1,850.00"
FUNTUNA EGGS 6 PIECES,₦350.00
GARBER LIL BITS OATMEAL APPLE CINNAMON CEREAL227g,"₦2,100.00"
GARDEN EGG,₦100.00
GARDEN EGG - REGULAR 4 PIECES,₦120.00
Geisha Mackerel In Tomato Sauce 155 g Price:,₦299.00
GERBER 2ND FOODS APPLES 227g 2 PIECES,"₦1,020.00"
GERBER CARROTS 113g 2 PIECES,"₦1,000.00"
GERBER LIL'BITS WHOLE WHEAT CEREAL APPLE BLUEBERRY 227g,"₦3,600.00"
GERBER LIL'BITS WHOLE WHEAT CEREAL APPLE CINNAMON 227g,"₦3,600.00"
GERBER LIL'BITS WHOLE WHEAT CREAL BANANA STRAWBERRY 227g,"₦3,400.00"
GERBER OATMEAL CEREAL SINGLE GRAIN 227g,"₦2,625.00"
GERBER RICE CEREAL 454g,"₦2,550.00"
