Movie,Year,RunTime,imdb,Genre,votes
The Grapes of Wrath,1940,129 minutes,8.1,"Drama, History",86669
La planète sauvage,1973,72 minutes,7.8,"Animation, Sci-Fi",26852
Waking Life,2001,99 minutes,7.8,"Animation, Drama, Fantasy",61553
The African Queen,1951,105 minutes,7.8,"Adventure, Drama, Romance",72817
Down by Law,1986,107 minutes,7.7,"Comedy, Crime, Drama",48868
Le scaphandre et le papillon,2007,112 minutes,8.0,"Biography, Drama",104358
City Lights,1931,87 minutes,8.5,"Comedy, Drama, Romance",171806
The Man Who Would Be King,1975,129 minutes,7.8,"Adventure, History, War",46018
Bin-jip,2004,88 minutes,8.0,"Crime, Drama, Romance",51947
Hannah and Her Sisters,1986,107 minutes,7.9,"Comedy, Drama",68336
Victoria,2015,138 minutes,7.6,"Crime, Drama, Romance",54763
Lat sau san taam,1992,128 minutes,7.8,"Action, Crime, Thriller",47528
Invasion of the Body Snatchers,1956,80 minutes,7.7,"Drama, Horror, Sci-Fi",45825
Death Note: Desu nôto,2006,126 minutes,7.7,"Crime, Drama, Fantasy",29066
Cat on a Hot Tin Roof,1958,108 minutes,8.0,Drama,46322
Philomena,2013,98 minutes,7.6,"Biography, Comedy, Drama",95706
Repulsion,1965,105 minutes,7.7,"Drama, Horror, Thriller",49902
Fantasia,1940,125 minutes,7.7,"Animation, Family, Fantasy",90289
La double vie de Véronique,1991,98 minutes,7.8,"Drama, Fantasy, Music",43950
Perfetti sconosciuti,2016,96 minutes,7.8,"Comedy, Drama",59201
Fitzcarraldo,1982,158 minutes,8.1,"Adventure, Drama",32450
Smultronstället,1957,91 minutes,8.2,"Drama, Romance",99142
The Station Agent,2003,89 minutes,7.6,"Comedy, Drama",68040
The Muppet Movie,1979,95 minutes,7.6,"Adventure, Comedy, Family",33554
Il conformista,1970,113 minutes,8.0,Drama,28008
Adams æbler,2005,94 minutes,7.8,"Comedy, Crime, Drama",47102
Uri: The Surgical Strike,2018,138 minutes,8.2,"Action, Drama, War",46008
Das weiße Band - Eine deutsche Kindergeschichte,2009,144 minutes,7.8,"Drama, History, Mystery",69891
"Aguirre, der Zorn Gottes",1972,95 minutes,7.9,"Action, Adventure, Biography",53556
Tropa de Elite,2007,115 minutes,8.0,"Action, Crime, Drama",99492
Andrei Rublev,1966,205 minutes,8.1,"Biography, Drama, History",48806
Bacheha-Ye aseman,1997,89 minutes,8.3,"Drama, Family, Sport",67813
Secrets & Lies,1996,136 minutes,8.0,"Comedy, Drama",38885
Ondskan,2003,113 minutes,7.8,Drama,36157
Article 15,2019,130 minutes,8.2,"Crime, Drama, Mystery",25729
Cape Fear,1962,106 minutes,7.7,"Drama, Thriller",27017
Night on Earth,1991,129 minutes,7.7,"Comedy, Drama",56694
A Man for All Seasons,1966,120 minutes,7.7,"Biography, Drama, History",32253
All Quiet on the Western Front,1930,152 minutes,8.1,"Drama, War",58064
Gegen die Wand,2004,121 minutes,7.9,"Drama, Romance",52095
Diarios de motocicleta,2004,126 minutes,7.8,"Adventure, Biography, Drama",98050
Hable con ella,2002,112 minutes,7.9,"Drama, Mystery, Romance",106020
Omoide no Mânî,2014,103 minutes,7.7,"Animation, Drama, Family",34834
Song of the Sea,2014,93 minutes,8.1,"Animation, Adventure, Drama",53826
Gully Boy,2019,154 minutes,8.0,"Drama, Music, Romance",33911
Control,2007,122 minutes,7.7,"Biography, Drama, Music",62435
Eskiya,1996,128 minutes,8.2,"Crime, Drama, Thriller",66125
Delicatessen,1991,99 minutes,7.6,"Comedy, Crime",81724
Das Cabinet des Dr. Caligari,1920,76 minutes,8.1,"Fantasy, Horror, Mystery",58673
Kagemusha,1980,180 minutes,8.0,"Drama, History, War",33057
Giù la testa,1971,157 minutes,7.6,"Drama, War, Western",30964
Le samouraï,1967,105 minutes,8.1,"Crime, Drama, Mystery",46888
Wait Until Dark,1967,108 minutes,7.8,Thriller,28325
Todo sobre mi madre,1999,101 minutes,7.9,Drama,91130
Forushande,2016,124 minutes,7.8,Drama,53329
Nelyubov,2017,127 minutes,7.6,Drama,30887
Leviafan,2014,140 minutes,7.6,"Crime, Drama",50532
Under sandet,2015,100 minutes,7.8,"Drama, History, War",37272
Lagaan: Once Upon a Time in India,2001,224 minutes,8.1,"Drama, Musical, Sport",107260
Mr. Smith Goes to Washington,1939,129 minutes,8.1,"Comedy, Drama",109052
Rockstar,2011,159 minutes,7.7,"Drama, Music, Romance",40845
Sacrifice,1986,149 minutes,8.1,Drama,25486
My Name Is Khan,2010,165 minutes,8.0,Drama,101029
Inherit the Wind,1960,128 minutes,8.1,"Biography, Drama, History",28023
Shadow of a Doubt,1943,108 minutes,7.8,"Film-Noir, Thriller",60888
Shine,1996,105 minutes,7.7,"Biography, Drama, Music",52077
Dom za vesanje,1988,142 minutes,8.2,"Comedy, Crime, Drama",28419
The Adventures of Robin Hood,1938,102 minutes,7.9,"Action, Adventure, Romance",47965
Frost/Nixon,2008,122 minutes,7.7,"Biography, Drama, History",104476
Freaks,1932,64 minutes,7.9,"Drama, Horror",42832
The World's Fastest Indian,2005,127 minutes,7.8,"Biography, Drama, Sport",52699
A Hard Day's Night,1964,87 minutes,7.6,"Comedy, Musical",41053
His Girl Friday,1940,92 minutes,7.9,"Comedy, Drama, Romance",54744
Underground,1995,170 minutes,8.1,"Comedy, Drama, Fantasy",55999
To Have and Have Not,1944,100 minutes,7.8,"Adventure, Comedy, Film-Noir",31776
Le passé,2013,130 minutes,7.7,"Drama, Mystery",45796
Amarcord,1973,123 minutes,7.9,"Comedy, Drama",40790
Le Petit Prince,2015,108 minutes,7.7,"Animation, Adventure, Drama",58117
Interstate 60: Episodes of the Road,2002,116 minutes,7.7,"Adventure, Comedy, Drama",30525
Out of the Past,1947,97 minutes,8.0,"Crime, Drama, Film-Noir",33683
Kaguyahime no monogatari,2013,137 minutes,8.0,"Animation, Adventure, Drama",40826
The Lunchbox,2013,104 minutes,7.8,"Drama, Romance",52135
Pink,2016,136 minutes,8.1,"Crime, Drama, Thriller",40977
In a Lonely Place,1950,94 minutes,8.0,"Drama, Film-Noir, Mystery",27851
Trois couleurs: Blanc,1994,92 minutes,7.6,"Comedy, Drama, Romance",66609
Le salaire de la peur,1953,131 minutes,8.1,"Adventure, Drama, Thriller",56148
Ivanovo detstvo,1962,95 minutes,8.1,"Drama, War",32908
Spoorloos,1988,107 minutes,7.7,"Mystery, Thriller",34767
The Red Shoes,1948,135 minutes,8.1,"Drama, Music, Romance",31826
Special Chabbis,2013,144 minutes,8.0,"Crime, Drama, Thriller",52369
Bringing Up Baby,1938,102 minutes,7.9,"Comedy, Family, Romance",56270
Mar adentro,2004,126 minutes,8.0,"Biography, Drama",78659
Sunrise: A Song of Two Humans,1927,94 minutes,8.1,"Drama, Romance",47810
The Broken Circle Breakdown,2012,111 minutes,7.7,"Drama, Music, Romance",39947
Batman: Mask of the Phantasm,1993,76 minutes,7.8,"Animation, Action, Crime",45095
Dil Chahta Hai,2001,183 minutes,8.1,"Comedy, Drama, Romance",68155
Ôkami kodomo no Ame to Yuki,2012,117 minutes,8.1,"Animation, Drama, Fantasy",40299
Chhichhore,2019,143 minutes,8.3,"Comedy, Drama",38628
Ta'm e guilass,1997,95 minutes,7.7,Drama,25556
Darbareye Elly,2009,119 minutes,8.0,"Drama, Mystery",47627
Baahubali 2: The Conclusion,2017,167 minutes,8.2,"Action, Drama",78551
The Odd Couple,1968,105 minutes,7.7,Comedy,32382
The Message,1976,177 minutes,8.2,"Biography, Drama, History",44833
Tôkyô monogatari,1953,136 minutes,8.2,Drama,55308
Jûbê ninpûchô,1993,94 minutes,7.9,"Animation, Action, Adventure",35243
Key Largo,1948,100 minutes,7.8,"Action, Crime, Drama",37706
Persepolis,2007,96 minutes,8.0,"Animation, Biography, Drama",90217
Lilja 4-ever,2002,109 minutes,7.8,"Crime, Drama",43406
"I, Daniel Blake",2016,100 minutes,7.9,Drama,55814
Viskningar och rop,1972,91 minutes,8.1,Drama,31161
Vivre sa vie: Film en douze tableaux,1962,80 minutes,8.0,Drama,29126
Höstsonaten,1978,99 minutes,8.2,"Drama, Music",29169
The Invisible Man,1933,71 minutes,7.7,"Horror, Sci-Fi",31498
Kahaani,2012,122 minutes,8.1,"Mystery, Thriller",59077
Du rififi chez les hommes,1955,118 minutes,8.1,"Crime, Drama, Thriller",30768
Kakushi-toride no san-akunin,1958,139 minutes,8.1,"Adventure, Drama",35879
Bride of Frankenstein,1935,75 minutes,7.8,"Drama, Horror, Sci-Fi",44306
Le charme discret de la bourgeoisie,1972,102 minutes,7.9,Comedy,39815
The General,1926,67 minutes,8.1,"Action, Adventure, Comedy",83065
Les diaboliques,1955,117 minutes,8.1,"Crime, Drama, Horror",62436
Lifeboat,1944,97 minutes,7.6,"Drama, War",27009
Efter brylluppet,2006,120 minutes,7.7,Drama,32925
To Be or Not to Be,1942,99 minutes,8.2,"Comedy, Romance, War",31879
Dilwale Dulhania Le Jayenge,1995,189 minutes,8.1,"Drama, Romance",65147
The Gold Rush,1925,95 minutes,8.2,"Adventure, Comedy, Drama",103641
La battaglia di Algeri,1966,121 minutes,8.1,"Drama, War",54815
Les yeux sans visage,1960,90 minutes,7.7,"Drama, Horror",28509
Il postino,1994,108 minutes,7.7,"Biography, Comedy, Drama",34360
Omohide poro poro,1991,118 minutes,7.6,"Animation, Drama, Romance",28461
M.S. Dhoni: The Untold Story,2016,184 minutes,7.9,"Biography, Drama, Sport",43756
The 39 Steps,1935,86 minutes,7.7,"Crime, Mystery, Thriller",53160
Vozvrashchenie,2003,110 minutes,8.0,Drama,43413
Kis Uykusu,2014,196 minutes,8.1,Drama,48200
Talvar,2015,132 minutes,8.2,"Crime, Drama, Mystery",32323
Les choristes,2004,97 minutes,7.9,"Comedy, Drama, Music",58635
Au revoir les enfants,1987,104 minutes,8.0,"Drama, War",31909
Celda 211,2009,113 minutes,7.6,"Action, Adventure, Crime",64829
Rupan sansei: Kariosutoro no shiro,1979,100 minutes,7.7,"Animation, Action, Adventure",28040
Jab We Met,2007,138 minutes,7.9,"Comedy, Drama, Romance",49028
Red River,1948,133 minutes,7.8,"Action, Adventure, Drama",28840
Huo Yuan Jia,2006,104 minutes,7.6,"Action, Biography, Drama",73555
Hera Pheri,2000,156 minutes,8.2,"Action, Comedy, Crime",59567
Badhaai ho,2018,124 minutes,8.0,"Comedy, Drama",29529
The Lady Vanishes,1938,96 minutes,7.8,"Mystery, Thriller",48598
Sweet Smell of Success,1957,96 minutes,8.0,"Drama, Film-Noir",29015
Sleuth,1972,138 minutes,8.0,"Mystery, Thriller",45382
Tôkyô goddofâzâzu,2003,90 minutes,7.8,"Animation, Adventure, Comedy",33077
The Innocents,1961,100 minutes,7.8,Horror,27767
Harvey,1950,104 minutes,7.9,"Comedy, Drama, Fantasy",53148
"Crna macka, beli macor",1998,127 minutes,8.1,"Comedy, Crime, Romance",51687
The Magdalene Sisters,2002,114 minutes,7.7,Drama,26268
Ace in the Hole,1951,111 minutes,8.1,"Drama, Film-Noir",32539
Das Experiment,2001,120 minutes,7.7,"Drama, Thriller",91620
Queen,2013,146 minutes,8.2,"Adventure, Comedy, Drama",61866
Rang De Basanti,2006,167 minutes,8.1,"Comedy, Crime, Drama",114461
Crimes and Misdemeanors,1989,104 minutes,7.9,"Comedy, Drama",55603
Vampire Hunter D: Bloodlust,2000,103 minutes,7.7,"Animation, Action, Fantasy",29862
Haider,2014,160 minutes,8.1,"Action, Crime, Drama",51364
Barfi!,2012,151 minutes,8.1,"Comedy, Drama, Romance",77393
Toki o kakeru shôjo,2006,98 minutes,7.7,"Animation, Adventure, Comedy",61875
Kumonosu-jo,1957,110 minutes,8.1,"Drama, History",48041
Yeopgijeogin geunyeo,2001,137 minutes,8.0,"Comedy, Drama, Romance",46005
Andaz Apna Apna,1994,160 minutes,8.1,"Action, Comedy, Romance",50825
The Lost Weekend,1945,101 minutes,7.9,"Drama, Film-Noir",34299
The Thin Man,1934,91 minutes,8.0,"Comedy, Crime, Mystery",27306
La passion de Jeanne d'Arc,1928,110 minutes,8.1,"Biography, Drama, History",49355
Gongdong gyeongbi guyeok JSA,2000,110 minutes,7.8,"Action, Drama, Thriller",27464
Brief Encounter,1945,86 minutes,8.0,"Drama, Romance",36877
Miracle on 34th Street,1947,96 minutes,7.9,"Comedy, Drama, Family",42104
Babam ve Oglum,2005,112 minutes,8.3,"Drama, Family",81263
Ba wang bie ji,1993,171 minutes,8.1,"Drama, Music, Romance",25814
Veer-Zaara,2004,192 minutes,7.8,"Drama, Family, Musical",50111
Hævnen,2010,118 minutes,7.6,"Drama, Romance",38922
Okuribito,2008,130 minutes,8.1,"Drama, Music",49426
La Grande Illusion,1937,113 minutes,8.1,"Drama, War",34436
G.O.R.A.,2004,127 minutes,8.0,"Adventure, Comedy, Sci-Fi",58669
La Strada,1954,108 minutes,8.0,Drama,59414
Dip huet seung hung,1989,111 minutes,7.8,"Action, Crime, Drama",46231
In America,2002,105 minutes,7.7,Drama,40721
Le notti di Cabiria,1957,110 minutes,8.1,Drama,44096
The Visitor,2007,104 minutes,7.6,Drama,41863
Bir Zamanlar Anadolu'da,2011,157 minutes,7.9,"Crime, Drama",43494
Dà hóng denglong gaogao guà,1991,125 minutes,8.1,"Drama, History, Romance",30338
Jungfrukällan,1960,89 minutes,8.1,Drama,27318
Kokuhaku,2010,106 minutes,7.7,"Drama, Thriller",36472
Tropa de Elite 2: O Inimigo Agora é Outro,2010,115 minutes,8.0,"Action, Crime, Drama",80151
Bronenosets Potemkin,1925,75 minutes,8.0,"Drama, History, Thriller",54211
The Secret of Kells,2009,71 minutes,7.6,"Animation, Adventure, Family",33024
Kal Ho Naa Ho,2003,186 minutes,7.9,"Comedy, Drama, Musical",64990
Airlift,2016,130 minutes,8.0,"Drama, History",53905
Hana-bi,1997,103 minutes,7.8,"Crime, Drama, Romance",28475
Jules et Jim,1962,105 minutes,7.8,"Drama, Romance",38628
Kind Hearts and Coronets,1949,106 minutes,8.0,"Comedy, Crime",35105
"Swades: We, the People",2004,210 minutes,8.2,Drama,85359
Mandariinid,2013,87 minutes,8.2,"Drama, War",42754
Bhaag Milkha Bhaag,2013,186 minutes,8.2,"Biography, Drama, Sport",62653
L'avventura,1960,144 minutes,7.9,"Drama, Mystery, Romance",27335
White Heat,1949,114 minutes,8.1,"Action, Crime, Drama",30474
El ángel exterminador,1962,95 minutes,8.1,"Drama, Fantasy",30462
Udta Punjab,2016,148 minutes,7.8,"Action, Crime, Drama",28026
Dev.D,2009,144 minutes,8.0,"Drama, Romance",29289
"4 luni, 3 saptamâni si 2 zile",2007,113 minutes,7.9,Drama,57560
No Man's Land,2001,98 minutes,7.9,"Comedy, Drama, War",45345
Hiroshima mon amour,1959,90 minutes,7.9,"Drama, Romance",29315
Les triplettes de Belleville,2003,80 minutes,7.8,"Animation, Comedy, Drama",51243
The Purple Rose of Cairo,1985,82 minutes,7.7,"Comedy, Fantasy, Romance",47902
Baby,2015,159 minutes,8.0,"Action, Thriller",54011
Paan Singh Tomar,2012,135 minutes,8.2,"Action, Biography, Crime",34173
The Shop Around the Corner,1940,99 minutes,8.1,"Comedy, Drama, Romance",29181
Duck Soup,1933,69 minutes,7.8,"Comedy, Musical, War",56313
English Vinglish,2012,134 minutes,7.8,"Comedy, Drama, Family",34294
A Wednesday,2008,104 minutes,8.1,"Action, Crime, Drama",75135
Udaan,2010,134 minutes,8.1,Drama,43206
Sholay,1975,204 minutes,8.2,"Action, Adventure, Comedy",52523
Central do Brasil,1998,110 minutes,8.0,Drama,37238
Love and Death,1975,85 minutes,7.7,"Comedy, War",36718
OMG: Oh My God!,2012,125 minutes,8.1,"Comedy, Drama, Fantasy",53469
Vicky Donor,2012,126 minutes,7.8,"Comedy, Romance",40595
Sherlock Jr.,1924,45 minutes,8.2,"Action, Comedy, Romance",43895
Black,2005,122 minutes,8.2,Drama,33786
Nueve reinas,2000,114 minutes,7.9,"Crime, Drama, Thriller",50585
Chak De! India,2007,153 minutes,8.2,"Drama, Family, Sport",75804
Sanjuro,1962,96 minutes,8.1,"Action, Comedy, Crime",34019
C.R.A.Z.Y.,2005,129 minutes,7.9,"Comedy, Drama",31709
Raazi,2018,138 minutes,7.8,"Action, Drama, Thriller",26573
Taegukgi hwinalrimyeo,2004,140 minutes,8.0,"Action, Drama, War",38218
Joyeux Noël,2005,116 minutes,7.7,"Drama, History, Music",28292
Le dîner de cons,1998,80 minutes,7.7,Comedy,38104
Kai po che!,2013,130 minutes,7.8,"Drama, Sport",34063
La règle du jeu,1939,110 minutes,8.0,"Comedy, Drama",27217
A Night at the Opera,1935,96 minutes,7.9,"Comedy, Music, Musical",31079
Munna Bhai M.B.B.S.,2003,156 minutes,8.1,"Comedy, Drama",75828
Knockin' on Heaven's Door,1997,87 minutes,7.9,"Action, Crime, Comedy",28305
Zelig,1983,79 minutes,7.7,Comedy,40490
Vizontele,2001,110 minutes,8.0,"Comedy, Drama",34553
The Muppet Christmas Carol,1992,85 minutes,7.7,"Comedy, Drama, Family",50935
Lage Raho Munna Bhai,2006,144 minutes,8.0,"Comedy, Drama, Romance",44102
The Circus,1928,72 minutes,8.1,"Comedy, Romance",31068
Auf der anderen Seite,2007,122 minutes,7.8,Drama,31144
Nefes: Vatan Sagolsun,2009,128 minutes,8.0,"Action, Drama, Thriller",32373
Anand,1971,122 minutes,8.3,"Drama, Musical",31940
