Movie,Year,RunTime,imdb,Genre,votes
The Longest Day,1962,178 minutes,7.8,"Action, Drama, History",52916
Kick-Ass,2010,117 minutes,7.6,"Action, Comedy, Crime",532671
Deadpool 2,2018,119 minutes,7.7,"Action, Adventure, Comedy",501164
Almost Famous,2000,122 minutes,7.9,"Adventure, Comedy, Drama",258743
Memento,2000,113 minutes,8.4,"Mystery, Thriller",1148923
Braveheart,1995,178 minutes,8.3,"Biography, Drama, History",975525
Pride & Prejudice,2005,129 minutes,7.8,"Drama, Romance",267212
Moneyball,2011,133 minutes,7.6,"Biography, Drama, Sport",381789
Mission: Impossible - Fallout,2018,147 minutes,7.7,"Action, Adventure, Thriller",300995
Blade Runner,1982,117 minutes,8.1,"Action, Sci-Fi, Thriller",707766
Harry Potter and the Deathly Hallows: Part 1,2010,146 minutes,7.7,"Adventure, Family, Fantasy",492216
Fargo,1996,98 minutes,8.1,"Crime, Drama, Thriller",631554
La La Land,2016,128 minutes,8.0,"Comedy, Drama, Music",523525
Harry Potter and the Half-Blood Prince,2009,153 minutes,7.6,"Action, Adventure, Family",488927
Black Swan,2010,108 minutes,8.0,"Drama, Thriller",712885
300,2006,117 minutes,7.6,"Action, Drama",747001
Predator,1987,107 minutes,7.8,"Action, Adventure, Sci-Fi",379368
The Usual Suspects,1995,106 minutes,8.5,"Crime, Mystery, Thriller",1010904
Full Metal Jacket,1987,116 minutes,8.3,"Drama, War",688557
Donnie Darko,2001,113 minutes,8.0,"Drama, Mystery, Sci-Fi",752388
The Hateful Eight,2015,168 minutes,7.8,"Crime, Drama, Mystery",534704
Terminator 2: Judgment Day,1991,137 minutes,8.5,"Action, Sci-Fi",1014503
Star Wars,1977,121 minutes,8.6,"Action, Adventure, Fantasy",1254931
Zodiac,2007,157 minutes,7.7,"Crime, Drama, Mystery",482923
The Grand Budapest Hotel,2014,99 minutes,8.1,"Adventure, Comedy, Crime",729911
Kingsman: The Secret Service,2014,129 minutes,7.7,"Action, Adventure, Comedy",603905
The Godfather: Part II,1974,202 minutes,9.0,"Crime, Drama",1157700
Good Will Hunting,1997,126 minutes,8.3,"Drama, Romance",883393
Hacksaw Ridge,2016,139 minutes,8.1,"Biography, Drama, History",453817
The Lion King,1994,88 minutes,8.5,"Animation, Adventure, Drama",965155
The Sixth Sense,1999,107 minutes,8.1,"Drama, Mystery, Thriller",927077
The Breakfast Club,1985,97 minutes,7.8,"Comedy, Drama",365056
Edge of Tomorrow,2014,113 minutes,7.9,"Action, Adventure, Sci-Fi",615248
The Hobbit: An Unexpected Journey,2012,169 minutes,7.8,"Adventure, Fantasy",769563
